,fractionnew,degradationrate,degradationrate_95%conf_low,degradationrate_90%conf_low,degradationrate_50%conf_low,degradationrate_bootstrapmedian,degradationrate_50%conf_high,degradationrate_90%conf_high,degradationrate_95%conf_high
ENSG00000005339,0.6523867809057528,0.8590771192673146,0.7936075816103821,0.8004289447297491,0.8334065531130173,0.8562694330330854,0.8708762783471379,0.8956960309522082,0.9068800967443792
ENSG00000005379,0.47101449275362317,0.5177188975681412,0.38362756637636924,0.3913261120678751,0.4692324312665415,0.5120448787474322,0.5526389715621185,0.6519779801819167,0.6666150140375524
ENSG00000005421,0.043478260869565216,0.036139644366531554,0.0,0.0,0.007391797595706267,0.03966680013774964,0.06025038386481451,0.09791353105378486,0.10129020996758493
ENSG00000005436,0.4360655737704918,0.46570512178370616,0.40303312706906846,0.4133191321748849,0.4415787473286225,0.46410089772447116,0.4860575229454699,0.5214015143552293,0.5386429372924215
ENSG00000005448,0.18473895582329317,0.16605440440887823,0.09493625701954578,0.09897758554412717,0.1352588230304608,0.1677925782467689,0.20498813517469033,0.25957430769063783,0.2686743392892752
ENSG00000005469,0.5162241887905604,0.5903525850050827,0.4746244898250695,0.4943940063788355,0.5471249254778167,0.5646745577428859,0.6145848774495205,0.6346699117052532,0.6643620319603553
ENSG00000005471,0.07407407407407407,0.06256995214319376,0.01248536703504998,0.015327122677639351,0.03872943469940425,0.06551554979101823,0.08680835502410955,0.11131675413415007,0.11861443602211053
ENSG00000005483,0.8047658862876255,1.3280941930094514,1.194916530800163,1.2394393399759167,1.2919259982859226,1.3299111926844283,1.3753717670899313,1.4085322412872747,1.419779556164314
ENSG00000005486,0.34212840809146877,0.3404435087610235,0.30441961188583155,0.3079995951081277,0.3279977929995561,0.33764284182659626,0.3534546580327882,0.37659343872139855,0.3798350008326534
ENSG00000005700,0.6811722912966253,0.9293531871637049,0.850313882414235,0.85319455961548,0.9052991415129359,0.9237835925840521,0.9483777156184622,0.9858522008177383,0.989007763787054
ENSG00000005801,0.5946622185154296,0.7341744155504233,0.669470921810951,0.6777027136879525,0.7127553112484579,0.7251028118290821,0.7597230227530589,0.79470278883819,0.8115672986129486
ENSG00000005810,0.426279602750191,0.4517179789802968,0.39548739673694694,0.4130619584474465,0.44064862048192877,0.45418843088736544,0.4654071997397134,0.495930374001935,0.5155019495555189
ENSG00000005812,0.7542372881355932,1.1409664995765778,1.0247356274904236,1.0407379440364852,1.0884140072966937,1.1387679916953863,1.1967029036997496,1.2558482242221796,1.2858134602984732
ENSG00000005844,0.3968253968253968,0.4110150948497129,0.25776250518421895,0.28212509376531003,0.3725403921616378,0.4114267445710081,0.4626350362074574,0.5360388765660963,0.5476977433859841
ENSG00000005882,0.12,0.10392957033323974,0.0,0.011257923902470856,0.04620613318716812,0.10284411157068737,0.142813492155263,0.22812626976920183,0.23388786378193568
ENSG00000005884,0.5555555555555556,0.6592928587124625,,,,,,,
ENSG00000005889,0.7853828306264501,1.2511377606385108,1.1358239927816238,1.1378356665786384,1.1925296749593515,1.237052379881427,1.288812662667271,1.3908735258124172,1.4003230418834156
ENSG00000005893,0.17755572636433511,0.15892239923297027,0.14496829936162156,0.14725753449561496,0.15323778668422863,0.15911997215181528,0.16381407373785184,0.17577371486869398,0.17810868237948443
ENSG00000005961,0.21359223300970873,0.19534945817658295,0.13660367667740483,0.1400157017654417,0.1643915649794988,0.1995382174724495,0.22870350389057184,0.2552811357945351,0.2603010019300309
ENSG00000005981,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
ENSG00000006007,0.24354731965585705,0.22692300689262515,0.2010852937115641,0.20248203722378405,0.2157883214941555,0.22620670671508086,0.23547374140545405,0.24751504527215856,0.2594388205408415
ENSG00000006015,0.08877434135166094,0.07558106346484607,0.06589436263892569,0.06625889861836279,0.07102566735405172,0.07685263095264122,0.08249338317180877,0.08860518694162488,0.08992695820394353
ENSG00000006016,0.30434782608695654,0.2950451168206248,0.16717354817005178,0.19965628716313052,0.26498573650285945,0.3237308007967263,0.37091140056173577,0.43653749347491727,0.46145419910186486
ENSG00000006025,0.4401294498381877,0.47158510764224915,0.40454638767769835,0.4117920464236237,0.4483695236433911,0.46808395619640153,0.4963461474649851,0.5405219161472106,0.5532649407653363
ENSG00000006042,0.1323024054982818,0.11537562476103899,0.09064932558174175,0.094492915885234,0.10620891397031326,0.11197403621963212,0.1252980294147262,0.1357676033689704,0.1416987843068589
ENSG00000006062,0.7940379403794038,1.2846043119952812,1.1393021415629925,1.1497723073522135,1.2230956039344074,1.2724649244753512,1.338954628781615,1.4489748965033427,1.4899388703501875
ENSG00000006071,0.717948717948718,1.0289970514888422,,,,,,,
ENSG00000006116,0.2916666666666667,0.2803581189363656,0.10442916489737025,0.1188917676655313,0.2014838919179178,0.2555319753749488,0.3256215051090402,0.5635342931381669,0.597601038247487
ENSG00000006125,0.312027323737497,0.3040700459936409,0.28334175083378643,0.2843933069316792,0.29517956657034194,0.30305534735475315,0.3077719340651875,0.32100035817460887,0.3223555558250851
ENSG00000006128,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
ENSG00000006194,0.5622047244094488,0.6715478741480118,0.5865148848819204,0.6093481923596079,0.6516060371253322,0.6703913482381281,0.6960290242710803,0.7349458999465721,0.7444260872017195
ENSG00000006210,0.5,0.5635342931381669,,,,,,,
ENSG00000006282,0.10714285714285714,0.09213714252601879,0.0,0.011615377432163529,0.0508295585214097,0.0904273456180686,0.15700252836018647,0.19506023723539648,0.1960667128592586
ENSG00000006283,0.5,0.5635342931381669,0.0,0.0,0.28757760527882176,0.5635342931381669,1.06859662033085,,
ENSG00000006327,0.805111821086262,1.3295360376966197,1.1935031665489615,1.2042575373446471,1.252277749805833,1.342429605554617,1.39710643822777,1.4401881080891124,1.4649846863115754
ENSG00000006432,0.6271186440677966,0.8020284475995151,0.5848603073090756,0.6182438001322109,0.710424548318149,0.8047751071372711,0.8778206438053205,1.0168013250502985,1.0457123119436809
ENSG00000006451,0.30715613382899626,0.2983338264365339,0.27455416794666476,0.2764686635553176,0.28618708139932,0.293587046936439,0.2996553662698348,0.31784437041802893,0.3219021914396364
ENSG00000006453,0.44036697247706424,0.4719300959803517,0.380841202414156,0.39932251483947967,0.44313516659665747,0.4652829980254497,0.4870776505591232,0.5169688986718548,0.536196529826223
ENSG00000006459,0.7057142857142857,0.9944749319136779,0.888160127796746,0.8966985732380964,0.9552756973146883,1.0049613677288125,1.073991886301511,1.158076455279638,1.1997182353182572
ENSG00000006468,0.6541450777202072,0.863199911889859,0.7627855092839725,0.7730479946715987,0.8151569068250256,0.8740763522662294,0.908825312235098,0.9631099974167592,0.9875299988840195
ENSG00000006530,0.47099930118798045,0.5176955496902458,0.4758209616655119,0.47927204996831635,0.4964455060528655,0.517444615329361,0.5317859048893834,0.5675380675211752,0.5776796524774555
ENSG00000006534,0.0,-0.0,,,,,,,
ENSG00000006576,0.7543928153065209,1.141481162194378,1.0569934862238668,1.0731209544035745,1.1062163795426283,1.1431329086736857,1.1643547975056074,1.1942807446191261,1.2189155212931007
ENSG00000006606,0.17721518987341772,0.15858583948893046,0.11590322655093978,0.11619454921038674,0.14447762872782943,0.15507236320717951,0.18655235221917568,0.2146842955466057,0.2192676600317362
ENSG00000006607,0.4713839750260146,0.5182869604811469,0.4559979527633447,0.45902673317023956,0.4863560643729114,0.5113354804282888,0.5297452544837244,0.563758912941076,0.5657910157181866
ENSG00000006611,0.0,-0.0,,,,,,,
ENSG00000006625,0.15533059158494147,0.13724387058644105,0.12396989240547159,0.12498036886302025,0.13112799526404137,0.13766132962237793,0.14256680901114682,0.14536996950691158,0.14617848452699136
ENSG00000006634,0.6236207601144258,0.7944374204775323,0.7338598585158086,0.7476737604894567,0.7678656211508543,0.7925874358530476,0.8154670784358447,0.8429143647938533,0.8451828897075648
ENSG00000006638,0.22119815668202766,0.203250925705192,0.1458101667934156,0.1493226416875767,0.1849967147152266,0.20485233359595387,0.21701145753259535,0.2533735727161906,0.2704865289452111
ENSG00000006652,0.351129363449692,0.35164382885827444,0.3116803797943303,0.31491012983308336,0.33364941592860553,0.3485260530587083,0.3618953856064079,0.37283631713581017,0.3809598418203569
ENSG00000006695,0.6686182669789227,0.8979547123132781,0.7913117551835016,0.8141781466590984,0.8804820886375723,0.9001438848744596,0.9313611279530158,0.9822563102629108,0.9908462055958395
ENSG00000006704,0.631911532385466,0.8125463159174598,0.705297417277343,0.7304187130581781,0.7783812835801852,0.7995410960285667,0.8325477795170397,0.878148941296676,0.9014641352672221
ENSG00000006712,0.2624521072796935,0.24749939316654837,0.2070925329992564,0.21119934850656,0.23687658452100235,0.2470578535661907,0.25580821996720915,0.26476214815608173,0.26954992094753955
ENSG00000006715,0.36742722265932337,0.3723252048865754,0.3418784138041621,0.34304798762982724,0.3573695649765615,0.36951730008167005,0.37850493965598336,0.40731503100259975,0.4170208454809002
ENSG00000006740,0.16923076923076924,0.15073432791167707,0.07820228535073098,0.0887993498528069,0.11933641002692776,0.1508619386692909,0.19444923001491476,0.22738846327664874,0.24901434540048586
ENSG00000006744,0.14413793103448275,0.12654150423578286,0.11459138126055289,0.11534789739527286,0.12250373022135622,0.12647777358134427,0.13035238623965678,0.14244496990988387,0.14470044468484913
ENSG00000006747,0.15034965034965034,0.1324637133978082,0.10529019080110895,0.10735092564718088,0.12265903196416877,0.1349680426513123,0.1489197592378388,0.16867958415840126,0.17632568101697327
ENSG00000006756,0.17647058823529413,0.1578504182446809,0.055577324366714094,0.061660226297493764,0.1147292351564988,0.15658993951368566,0.22245188935314647,0.3365198602811045,0.3608285126585694
ENSG00000006757,0.13527397260273974,0.11816467768525796,0.0879171593440204,0.0966955350983257,0.10775917073596075,0.11679833900636438,0.12609978268647692,0.13956714495132896,0.14555636082749862
ENSG00000006788,0.2857142857142857,0.2735546639196853,0.0,0.0,0.171376858374663,0.24302317103887006,0.3821167717445005,0.5635342931381669,0.5635342931381669
ENSG00000006831,0.617426820966644,0.7811669319351109,0.7206829038051636,0.7237108779632988,0.7500476092290338,0.7755121812994784,0.8035274335637195,0.8308417465813025,0.8348670700532727
ENSG00000006837,0.7230769230769231,1.043915050406075,0.6259385332533858,0.6375493072294374,0.8931807224943981,1.0640340983760717,1.2137939493370533,1.534202966692992,1.6147483837012526
ENSG00000007001,0.15,0.13212921097380076,0.06521128234433103,0.07950653512982499,0.10781277214042012,0.13487034142445392,0.15595957847861686,0.19362228214534635,0.1948714388433136
ENSG00000007038,0.11740635819955933,0.10153689928051665,0.09136886578444081,0.09279730261091622,0.09748524841656342,0.10091110087274244,0.10479371396242226,0.11082975217485548,0.11256627746706319
ENSG00000007047,0.5024469820554649,0.5675228937632518,0.49768710974143265,0.5187735985119847,0.5435021049265689,0.5606410135573279,0.5863338305841692,0.6208987183875616,0.6250222354351063
ENSG00000007062,0.19230769230769232,0.17363747991712117,0.0,0.0,0.08496614051368519,0.17067229494319675,0.31743673661383254,0.5201596656884464,0.5380718814475574
ENSG00000007080,0.16666666666666666,0.14822890796256472,0.1374844037173848,0.13795815174409204,0.1438201808493623,0.14659510792528554,0.15176240108037625,0.15746743195738158,0.15911746343829
ENSG00000007129,0.16666666666666666,0.14822890796256472,0.0,0.0,0.0,0.1367773319598426,0.31562348799709466,0.5635342931381669,0.5635342931381669
