	binary_sum	binary_avg	nonzero_avg	nonzero_cov	kon	koff	ksyn	burstsize	kon_95%conf_low	kon_90%conf_low	kon_50%conf_low	kon_bootstrapmedian	kon_50%conf_high	kon_90%conf_high	kon_95%conf_high	kon_bootstrapfail%	koff_95%conf_low	koff_90%conf_low	koff_50%conf_low	koff_bootstrapmedian	koff_50%conf_high	koff_90%conf_high	koff_95%conf_high	koff_bootstrapfail%	ksyn_95%conf_low	ksyn_90%conf_low	ksyn_50%conf_low	ksyn_bootstrapmedian	ksyn_50%conf_high	ksyn_90%conf_high	ksyn_95%conf_high	ksyn_bootstrapfail%	burstsize_95%conf_low	burstsize_90%conf_low	burstsize_50%conf_low	burstsize_bootstrapmedian	burstsize_50%conf_high	burstsize_90%conf_high	burstsize_95%conf_high	burstsize_bootstrapfail%
ENSG00000003989	3.0	0.004893964110929853	1.0	0.0	2.769591490305372				0.623158085318709	2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	0.0								100.0								100.0								100.0
ENSG00000004059	186.0	0.3034257748776509	1.3279569892473118	0.471742447298446					0.6518363448688383	0.6518363448688383	0.6518363448688383	5.949027941192585	11.76773446825124	18.473843726473742	25.419084596784035	34.0								100.0	5.716431005829036	5.848035476425731	7.736475438302211	15.581415226859601	19.930792376773034	34.19951893353393	34.19951893353393	38.0								100.0
ENSG00000004139	2.0	0.0032626427406199023	2.0	0.5	2.769591490305372		34.19951893353393		0.0	0.0	0.1534127404634389	0.6518363448688383	2.769591490305372	2.769591490305372	2.769591490305372	10.0								100.0	34.19951893353393	34.19951893353393	34.19951893353393	34.19951893353393	34.19951893353393	34.19951893353393	34.19951893353393	66.0								100.0
ENSG00000004142	227.0	0.3703099510603589	1.4052863436123348	0.5759670929805114	11.76773446825124		5.848035476425731		11.76773446825124	11.76773446825124	11.76773446825124	11.76773446825124	11.76773446825124	11.76773446825124	11.76773446825124	2.0								100.0	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	11.569199609152001	2.0								100.0
ENSG00000004399	45.0	0.0734094616639478	1.2222222222222223	0.34015067152490375	1.5998960445021704		20.289814162634517		1.4899108550576061	1.5116329600289555	1.6037751271889549	1.6660632990431494	3.224504321708926	7.396490987941606	7.589767654181871	0.0								100.0	8.797120409878907	10.342332990044225	15.837019818240819	19.68333121636971	26.322861164599853	31.785347931774783	33.24485813086855	0.0								100.0
ENSG00000004455	464.0	0.7569331158238173	2.663793103448276	0.6671770440869474			5.848035476425731					40.054098042675314				98.0								100.0	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	34.923819170406354	0.0								100.0
ENSG00000004468	4.0	0.0065252854812398045	1.0	0.0	2.769591490305372				2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	0.0								100.0								100.0								100.0
ENSG00000004478	276.0	0.45024469820554647	1.6992753623188406	0.6454711059126933	2.769591490305372		34.19951893353393		2.512495599884599	2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	11.76773446825124	11.76773446825124	0.0								100.0	5.848035476425731	5.848035476425731	34.19951893353393	34.19951893353393	34.19951893353393	34.19951893353393	34.19951893353393	0.0								100.0
ENSG00000004487	276.0	0.45024469820554647	1.4166666666666667	0.5426034783129371	11.76773446825124		5.848035476425731		11.76773446825124	11.76773446825124	11.76773446825124	11.76773446825124	11.76773446825124	11.76773446825124	11.76773446825124	0.0								100.0	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	0.0								100.0
ENSG00000004534	435.0	0.7096247960848288	2.494252873563218	0.75502380652323			5.848035476425731									100.0								100.0	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	0.0								100.0
ENSG00000004660	53.0	0.0864600326264274	1.2830188679245285	0.4636436108951308	0.1534127404634389		34.19951893353393		0.0361064078764099	0.0361064078764099	0.1534127404634389	0.9151892509295638	2.769591490305372	4.14146993140371	6.041819090106625	0.0								100.0	5.848035476425731	5.848035476425731	23.96990931539621	34.19951893353393	34.19951893353393	38.47625279666137	40.66887303018353	0.0								100.0
ENSG00000004700	116.0	0.18923327895595432	1.3275862068965516	0.5397037598748091	0.6518363448688383		34.19951893353393		0.6518363448688383	0.6518363448688383	0.6518363448688383	0.6518363448688383	0.6518363448688383	15.793602251226114	16.575322830180447	12.0								100.0	14.904004108766859	16.93413816287982	22.503379662621967	34.19951893353393	34.19951893353393	34.19951893353393	34.19951893353393	6.0								100.0
ENSG00000004766	294.0	0.4796084828711256	1.8911564625850341	0.7262001073615231	2.769591490305372		34.19951893353393		2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	4.091540595130599	0.0								100.0	34.19951893353393	34.19951893353393	34.19951893353393	34.19951893353393	34.19951893353393	34.19951893353393	34.19951893353393	0.0								100.0
ENSG00000004776	3.0	0.004893964110929853	1.0	0.0	2.769591490305372				0.0	0.0	2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	0.0								100.0								100.0								100.0
ENSG00000004777	27.0	0.04404567699836868	1.1851851851851853	0.32775276505317236	1.470417178598773		18.453360958945705		0.9517332176183129	0.9919459513163753	1.4370623877541324	1.5453109588025886	2.570040600007052	3.9643801844971622	5.4938914449096865	0.0								100.0	7.57062385440769	9.15275197046143	12.916491323838834	17.312587722873616	24.39256476175803	32.45781437503702	35.765689854254965	6.0								100.0
ENSG00000004779	397.0	0.6476345840130505	2.146095717884131	0.5820838963316007	27.271668216271422		30.816813878766173		2.769591490305372	9.149776469813022	25.319678657278654	27.144011400260354	30.160538798522914	33.00523594874077	33.68863184997778	4.0								100.0	9.19723891274136	21.420988326763993	26.155967749328827	31.436716192255794	34.19951893353393	39.66620411549621	41.41798752316336	0.0								100.0
ENSG00000004838	13.0	0.021207177814029365	1.2307692307692308	0.4677071733467426	0.0361064078764099		34.19951893353393		0.0361064078764099	0.0361064078764099	0.0361064078764099	0.30240297517595893	0.6518363448688383	2.769591490305372	2.769591490305372	0.0								100.0	5.848035476425731	5.848035476425731	34.19951893353393	34.19951893353393	34.19951893353393	43.20305782542009	55.108394024708026	14.0								100.0
ENSG00000004846	8.0	0.013050570962479609	1.0	0.0	2.769591490305372				2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	0.0								100.0								100.0								100.0
ENSG00000004848	1.0	0.0016313213703099511	1.0	0.0	2.769591490305372				0.0	0.0	0.0	2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	0.0								100.0								100.0								100.0
ENSG00000004864	382.0	0.6231647634584013	2.643979057591623	0.7816541670953692			5.848035476425731					0.1534127404634389				86.0								100.0	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	8.0								100.0
ENSG00000004866	330.0	0.5383360522022839	1.909090909090909	0.6325750323714515	2.769591490305372		34.19951893353393		2.769591490305372	2.769591490305372	2.769591490305372	2.769591490305372	8.364313320030535	12.633394916406397	14.459742806288695	0.0								100.0	30.12785201913051	30.862880102697495	34.19951893353393	34.19951893353393	34.61767093345324	44.78283103251512	50.750354535723055	0.0								100.0
ENSG00000004897	464.0	0.7569331158238173	2.8168103448275863	0.7156299040662216			5.848035476425731					0.6518363448688383				92.0								100.0	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	10.0								100.0
ENSG00000004939	3.0	0.004893964110929853	2.0	0.7071067811865476	2.769591490305372		34.19951893353393		0.0	0.0	0.6518363448688383	0.6518363448688383	2.769591490305372	2.769591490305372	2.769591490305372	22.0								100.0	34.19951893353393	34.19951893353393	34.19951893353393	34.19951893353393	34.19951893353393	80.31021334907462	114.89323416073033	74.0								100.0
ENSG00000004948	8.0	0.013050570962479609	1.2499999999999998	0.3464101615137755	0.0361064078764099		34.19951893353393		0.0361064078764099	0.0361064078764099	0.06543299102316716	0.6518363448688383	0.6518363448688383	2.769591490305372	2.769591490305372	0.0								100.0	5.848035476425731	5.848035476425731	5.848035476425731	34.19951893353393	34.19951893353393	34.19951893353393	37.53575678330212	14.0								100.0
ENSG00000004961	237.0	0.3866231647634584	1.5147679324894512	0.5577990082033647	11.76773446825124		5.848035476425731		3.320281212477699	4.625868473734651	11.76773446825124	11.76773446825124	11.76773446825124	11.76773446825124	11.76773446825124	0.0								100.0	5.848035476425731	5.848035476425731	5.848035476425731	5.848035476425731	15.103772949343544	26.58412327460556	29.36137549816174	0.0								100.0
ENSG00000004975	75.0	0.12234910277324633	1.2933333333333334	0.45125914697400593	2.2844742891883505		24.961777555027076		0.1534127404634389	0.1534127404634389	0.5876008570301448	1.2359616912561178	2.769591490305372	3.917025396092099	4.2476475566947265	0.0								100.0	5.848035476425731	5.848035476425731	23.46555979752288	29.249741710441906	34.19951893353393	39.66117301904019	42.31111397495555	0.0								100.0
